title,year,pmid,keywords_list,mesh_ids,forename,lastname,initials,reported_identity,proper_identity,reported_institution,proper_institution,email,postcode,country,affiliations
Common and rare forms of vasculitis associated with Sjögren's syndrome.,2019,31644467,[],[],Ourania D,Argyropoulou,OD,,,"{'Department of Pathophysiology', 'Kapodistrian University of Athens', 'School of Medicine'}",,,,Greece,"Department of Pathophysiology, School of Medicine, National and Kapodistrian University of Athens, Athens, Greece."
Common and rare forms of vasculitis associated with Sjögren's syndrome.,2019,31644467,[],[],Athanasios G,Tzioufas,AG,,,,,,,,
The quantitative assessment of interstitial lung disease with positron emission tomography scanning in systemic sclerosis patients.,2019,31642912,"['18F-FDG PET/CT', 'Systemic sclerosis', 'interstitial lung disease', 'lung fibrosis', 'positron emission tomography']",[],Daphne M,Peelen,DM,,,"{'Department of Rheumatology', 'Amsterdam Rheumatology & Immunology Center'}",,,,,"Department of Rheumatology, Amsterdam Rheumatology & Immunology Center."
The quantitative assessment of interstitial lung disease with positron emission tomography scanning in systemic sclerosis patients.,2019,31642912,"['18F-FDG PET/CT', 'Systemic sclerosis', 'interstitial lung disease', 'lung fibrosis', 'positron emission tomography']",[],Ben G J C,Zwezerijnen,BGJC,,,{'Department of Radiology and Nuclear Medicine'},,,,,Department of Radiology and Nuclear Medicine.
The quantitative assessment of interstitial lung disease with positron emission tomography scanning in systemic sclerosis patients.,2019,31642912,"['18F-FDG PET/CT', 'Systemic sclerosis', 'interstitial lung disease', 'lung fibrosis', 'positron emission tomography']",[],Esther J,Nossent,EJ,,,"{'Department of Pulmonary Medicine', 'Amsterdam Cardiovascular Sciences'}",,,,,"Department of Pulmonary Medicine and Amsterdam Cardiovascular Sciences, Amsterdam UMC, Vrije Universiteit, Amsterdam, The Netherlands."
The quantitative assessment of interstitial lung disease with positron emission tomography scanning in systemic sclerosis patients.,2019,31642912,"['18F-FDG PET/CT', 'Systemic sclerosis', 'interstitial lung disease', 'lung fibrosis', 'positron emission tomography']",[],Lilian J,Meijboom,LJ,,,{'Department of Radiology and Nuclear Medicine'},,,,,Department of Radiology and Nuclear Medicine.
The quantitative assessment of interstitial lung disease with positron emission tomography scanning in systemic sclerosis patients.,2019,31642912,"['18F-FDG PET/CT', 'Systemic sclerosis', 'interstitial lung disease', 'lung fibrosis', 'positron emission tomography']",[],Otto S,Hoekstra,OS,,,{'Department of Radiology and Nuclear Medicine'},,,,,Department of Radiology and Nuclear Medicine.
The quantitative assessment of interstitial lung disease with positron emission tomography scanning in systemic sclerosis patients.,2019,31642912,"['18F-FDG PET/CT', 'Systemic sclerosis', 'interstitial lung disease', 'lung fibrosis', 'positron emission tomography']",[],Conny J,Van der Laken,CJ,,,"{'Department of Rheumatology', 'Amsterdam Rheumatology & Immunology Center'}",,,,,"Department of Rheumatology, Amsterdam Rheumatology & Immunology Center."
The quantitative assessment of interstitial lung disease with positron emission tomography scanning in systemic sclerosis patients.,2019,31642912,"['18F-FDG PET/CT', 'Systemic sclerosis', 'interstitial lung disease', 'lung fibrosis', 'positron emission tomography']",[],Alexandre E,Voskuyl,AE,,,"{'Department of Rheumatology', 'Amsterdam Rheumatology & Immunology Center'}",,,,,"Department of Rheumatology, Amsterdam Rheumatology & Immunology Center."
Clinical ultrasonography in systemic autoimmune diseases.,2019,31635810,"['Clinical ultrasonography', 'Ecografía clínica', 'Enfermedades autoinmunes sistémicas', ""Sjögren's syndrome"", 'Systemic autoimmune diseases', 'Síndrome de Sjögren', 'Vasculitis']",[],G,Serralta San Martín,G,,,,,gonzaloserralta@mac.com,,,"Servicio de Medicina Interna, Hospital Universitario Infanta Sofía, San Sebastián de los Reyes (Madrid), España. Electronic address: gonzaloserralta@mac.com."
Clinical ultrasonography in systemic autoimmune diseases.,2019,31635810,"['Clinical ultrasonography', 'Ecografía clínica', 'Enfermedades autoinmunes sistémicas', ""Sjögren's syndrome"", 'Systemic autoimmune diseases', 'Síndrome de Sjögren', 'Vasculitis']",[],J,Canora Lebrato,J,,,{'Fuenlabrada'},,,,,"Servicio de Medicina Interna, Hospital Universitario de Fuenlabrada, Fuenlabrada (Madrid), España."
Clinical ultrasonography in systemic autoimmune diseases.,2019,31635810,"['Clinical ultrasonography', 'Ecografía clínica', 'Enfermedades autoinmunes sistémicas', ""Sjögren's syndrome"", 'Systemic autoimmune diseases', 'Síndrome de Sjögren', 'Vasculitis']",[],,,,,,,,,,,
Primary Sjögren's syndrome and the eye.,2019,31634487,"['Primary Sjögren syndrome', 'dry eye disease', 'inflammation', 'lacrimal gland', 'treatment']",[],Oddbjørn,Bjordal,O,,,"{'Østfold Hospital', 'Department of Ophthalmology'}",,,,Norway,"Department of Ophthalmology, Østfold Hospital, Grålum, Norway."
Primary Sjögren's syndrome and the eye.,2019,31634487,"['Primary Sjögren syndrome', 'dry eye disease', 'inflammation', 'lacrimal gland', 'treatment']",[],Katrine Brække,Norheim,KB,,grid.412835.9,"{'Department of Internal Medicine', 'Clinical Immunology Unit', 'Stavanger University Hospital'}",Stavanger University Hospital,,,Norway,"Clinical Immunology Unit, Department of Internal Medicine, Stavanger University Hospital, Stavanger, Norway."
Primary Sjögren's syndrome and the eye.,2019,31634487,"['Primary Sjögren syndrome', 'dry eye disease', 'inflammation', 'lacrimal gland', 'treatment']",[],Eyvind,Rødahl,E,,grid.7914.b,"{'Department of Clinical Medicine', 'University of Bergen', 'Department of Ophthalmology, Haukeland University Hospital'}",University of Bergen,,,Norway,"Department of Ophthalmology, Haukeland University Hospital, Bergen, Norway; Department of Clinical Medicine, University of Bergen, Bergen, Norway."
Primary Sjögren's syndrome and the eye.,2019,31634487,"['Primary Sjögren syndrome', 'dry eye disease', 'inflammation', 'lacrimal gland', 'treatment']",[],Roland,Jonsson,R,,,"{'Broegelmann Research Laboratory', 'Department of Clinical Science, University of Bergen', 'Department of Rheumatology, Haukeland University Hospital'}",,,,Norway,"Broegelmann Research Laboratory, Department of Clinical Science, University of Bergen, Bergen, Norway; Department of Rheumatology, Haukeland University Hospital, Bergen, Norway."
Primary Sjögren's syndrome and the eye.,2019,31634487,"['Primary Sjögren syndrome', 'dry eye disease', 'inflammation', 'lacrimal gland', 'treatment']",[],Roald,Omdal,R,,grid.412835.9,"{'Department of Internal Medicine', 'Clinical Immunology Unit', 'Stavanger University Hospital', 'Department of Clinical Science, University of Bergen', 'Broegelmann Research Laboratory'}",Stavanger University Hospital,roald.omdal@lyse.net,,Norway,"Clinical Immunology Unit, Department of Internal Medicine, Stavanger University Hospital, Stavanger, Norway; Broegelmann Research Laboratory, Department of Clinical Science, University of Bergen, Bergen, Norway. Electronic address: roald.omdal@lyse.net."
Muscular Tuberculosis: A New Case and a Review of the Literature.,2019,31632334,"['biopsy', 'muscle', 'muscular tuberculosis', 'pathology', 'tuberculosis']",[],Yanping,Zeng,Y,,grid.49470.3e,"{'Department of Neurology', 'Wuhan University', 'Renmin Hospital'}",Wuhan University,,,China,"Department of Neurology, Renmin Hospital, Wuhan University, Wuhan, China."
Muscular Tuberculosis: A New Case and a Review of the Literature.,2019,31632334,"['biopsy', 'muscle', 'muscular tuberculosis', 'pathology', 'tuberculosis']",[],Yin,Liu,Y,,grid.49470.3e,"{'Department of Neurology', 'Wuhan University', 'Renmin Hospital'}",Wuhan University,,,China,"Department of Neurology, Renmin Hospital, Wuhan University, Wuhan, China."
Muscular Tuberculosis: A New Case and a Review of the Literature.,2019,31632334,"['biopsy', 'muscle', 'muscular tuberculosis', 'pathology', 'tuberculosis']",[],Yanchun,Xie,Y,,grid.49470.3e,"{'Department of Neurology', 'Wuhan University', 'Renmin Hospital'}",Wuhan University,,,China,"Department of Neurology, Renmin Hospital, Wuhan University, Wuhan, China."
